,Polarization_bool,retweetCount
1047,0,215
1048,1,1649
1049,-1,1331
1050,-1,179
1051,-1,1746
1052,1,544
1053,1,3706
1054,0,1053
1055,1,2391
1056,1,3100
1057,-1,889
1058,-1,1332
1059,-1,2168
1060,-1,3897
1061,1,993
1062,-1,1724
1063,-1,1473
1064,1,1145
1065,0,303
1066,-1,1270
1067,-1,2476
1068,1,4251
1069,0,992
1070,-1,1106
1071,1,3394
1072,-1,236
1073,-1,1749
1074,0,3881
1075,-1,345
1076,0,458
1077,0,3148
1078,0,463
1079,-1,501
1080,1,585
1081,-1,441
1082,0,2043
1083,-1,532
1084,0,1910
1085,-1,286
1086,1,4714
1087,0,489
1088,0,339
1089,0,2914
1090,1,361
1091,-1,1662
1092,0,1801
1093,1,2927
1094,1,732
1095,-1,390
1096,-1,1298
1097,0,2101
1098,1,584
1099,-1,2107
1100,1,2516
1101,1,3780
1102,1,569
1103,1,327
1104,1,1350
1105,1,1595
1106,-1,1519
1107,1,1256
1108,-1,9747
1109,-1,1752
1110,1,302
1111,0,1538
1112,-1,1613
1113,1,900
1114,-1,712
1115,0,3596
1116,1,483
1117,-1,311
1118,-1,4580
1119,-1,2952
1120,-1,3281
1121,-1,297
1122,0,559
1123,0,455
1124,-1,793
1125,0,277
1126,1,2591
1127,-1,2604
1128,-1,280
1129,1,492
1130,0,630
1131,-1,544
1132,0,655
1133,-1,553
1134,1,476
1135,-1,3426
1136,1,481
1137,1,4534
1138,1,279
1139,-1,2533
1140,-1,747
1141,1,1325
1142,0,6709
1143,-1,2102
1144,0,2951
1145,-1,165
1146,-1,2508
1147,-1,1370
1148,1,1472
1149,1,5505
1150,-1,216
1151,1,3457
1152,1,543
1153,-1,729
1154,-1,800
1155,-1,592
1156,1,1154
1157,-1,164
1158,1,729
1159,0,3073
1160,0,5976
1161,1,3486
1162,-1,2736
1163,0,3709
1164,1,2942
1165,-1,458
1166,-1,198
1167,-1,9751
1168,-1,5758
1169,1,185
1170,-1,3243
1171,1,1012
1172,1,2989
1173,1,384
1174,0,1249
1175,1,259
1176,-1,1584
1177,-1,1660
1178,1,3859
1179,0,173
1180,-1,3016
1181,1,446
1182,1,1183
1183,-1,1672
1184,-1,397
1185,1,1432
1186,1,1242
1187,1,285
1188,-1,264
1189,1,1328
1190,1,903
1191,-1,1263
1192,1,386
1193,1,1330
1194,1,1691
1195,1,462
1196,1,2099
1197,-1,422
1198,-1,1039
1199,-1,442
1200,1,559
1201,1,708
1202,1,1906
1203,-1,612
1204,-1,330
1205,-1,1934
1206,1,641
1207,1,1513
1208,1,978
1209,1,290
1210,1,235
1211,1,332
1212,-1,139
1213,-1,3557
1214,-1,155
1215,-1,1580
1216,-1,811
1217,-1,823
1218,-1,915
1219,-1,739
1220,-1,832
1221,-1,1209
1222,-1,1384
1223,1,762
1224,0,361
1225,-1,5356
1226,1,722
1227,1,953
1228,-1,405
1229,0,1341
1230,-1,651
1231,1,1417
1232,-1,8047
1233,1,1899
1234,-1,2303
1235,1,2629
1236,0,474
1237,1,279
1238,1,3294
1239,-1,444
1240,-1,464
1241,-1,2155
1242,-1,294
1243,1,320
1244,1,381
1245,-1,1153
1246,0,396
1247,1,460
1248,0,183
1249,0,155
1250,1,779
1251,1,2263
1252,0,679
1253,-1,810
1254,0,6969
1255,0,249
1256,-1,376
1257,0,511
1258,1,319
1259,-1,1394
1260,1,1599
1261,1,686
1262,1,392
1263,1,727
1264,0,1284
1265,1,2623
1266,0,271
1267,-1,467
1268,-1,253
1269,1,1039
1270,-1,1176
1271,1,2976
1272,1,756
1273,1,1039
1274,-1,1921
1275,1,3927
1276,0,2359
1277,-1,2398
1278,0,433
1279,0,255
1280,-1,209
1281,-1,5475
1282,1,1636
1283,0,351
1284,0,340
1285,-1,3247
1286,-1,386
1287,-1,871
1288,1,988
1289,0,674
1290,-1,349
1291,1,851
1292,0,804
1293,1,4451
1294,1,5080
1295,0,29053
1296,1,395
1297,1,558
1298,1,809
1299,-1,1026
1300,0,2574
1301,1,2249
1302,-1,3670
1303,1,804
1304,0,299
1305,1,1281
1306,1,841
1307,0,153
1308,1,184
1309,1,589
1310,-1,2182
1311,-1,1255
1312,1,871
1313,1,3533
1314,1,1011
1315,-1,448
1316,1,721
1317,1,777
1318,-1,475
1319,1,368
1320,-1,9089
1321,1,4626
1322,0,1836
1323,-1,1334
1324,0,263
1325,-1,924
1326,1,983
1327,-1,1132
1328,-1,462
1329,-1,11662
1330,-1,467
1331,1,6226
1332,0,491
1333,-1,141
1334,1,499
1335,-1,1041
1336,0,420
1337,-1,259
1338,-1,1943
1339,1,2263
1340,-1,973
1341,1,597
1342,0,991
1343,0,401
1344,1,1099
1345,1,1743
1346,1,1644
1347,1,2200
1348,-1,921
1349,-1,1194
1350,1,1028
1351,1,1612
1352,-1,4618
1353,1,7411
1354,1,545
1355,-1,1900
1356,0,1083
1357,-1,1627
1358,1,577
1359,-1,228
1360,1,1099
1361,-1,2813
1362,1,813
1363,-1,1942
1364,-1,1119
1365,1,5682
1366,1,2583
1367,1,2455
1368,1,1401
1369,1,752
1370,-1,1878
1371,-1,869
1372,1,2676
1373,1,127
1374,1,565
1375,1,453
1376,-1,315
1377,1,464
1378,1,2012
1379,1,1557
1380,1,835
1381,0,396
1382,1,899
1383,1,774
1384,1,1677
1385,1,1495
1386,-1,882
1387,1,370
1388,1,389
1389,1,495
1390,-1,189
1391,1,346
1392,1,366
1393,-1,1011
1394,-1,791
1395,1,1873
1396,-1,718
1397,1,229
1398,0,3633
1399,1,488
1400,1,146
1401,1,1054
1402,-1,1547
1403,1,467
1404,-1,1504
1405,-1,1992
1406,0,1159
1407,1,4806
1408,1,2939
1409,1,540
1410,1,1193
1411,1,1087
1412,-1,6037
1413,-1,854
1414,1,310
1415,-1,1956
1416,-1,163
1417,1,2842
1418,-1,2046
1419,1,6372
1420,-1,480
1421,-1,1360
1422,1,3575
1423,0,738
1424,1,502
1425,1,645
1426,1,835
1427,1,1880
1428,0,3395
1429,1,620
1430,1,709
1431,1,461
1432,0,332
1433,-1,129
1434,-1,14510
1435,1,4094
1436,-1,1228
1437,1,4830
1438,0,410
1439,-1,667
1440,1,2296
1441,1,334
1442,1,723
1443,0,233
1444,1,918
1445,1,1701
1446,1,1753
1447,-1,761
1448,1,1212
1449,1,1576
1450,0,150
1451,-1,1636
1452,1,1593
1453,1,2147
1454,-1,449
1455,1,679
1456,1,688
1457,0,616
1458,1,199
1459,1,3367
1460,1,4031
1461,-1,1008
1462,-1,812
1463,1,373
1464,0,396
1465,0,453
1466,0,725
1467,1,5293
1468,1,822
1469,1,645
1470,-1,276
1471,-1,3583
1472,1,1072
1473,-1,3712
1474,-1,1455
1475,-1,6514
1476,1,838
1477,1,6084
1478,0,493
1479,1,7861
1480,0,519
1481,0,591
1482,1,753
1483,1,6079
1484,-1,308
1485,1,2042
1486,0,1404
1487,1,2352
1488,-1,953
1489,1,1510
1490,-1,776
1491,1,316
1492,1,582
1493,1,703
1494,-1,222
1495,-1,4103
1496,-1,689
1497,1,3396
1498,1,356
1499,1,1316
1500,1,8625
1501,1,1693
1502,-1,6345
1503,0,2824
1504,1,1022
1505,1,2847
1506,1,291
1507,1,383
1508,-1,270
1509,1,215
1510,1,5388
1511,-1,10257
1512,0,1563
1513,1,657
1514,-1,4513
1515,1,562
1516,-1,1036
1517,0,1663
1518,-1,634
1519,1,1322
1520,1,3921
1521,-1,333
1522,1,1183
1523,1,573
1524,-1,223
1525,1,518
1526,-1,1984
1527,-1,1678
1528,1,769
1529,1,1431
1530,-1,935
1531,0,3896
1532,-1,866
1533,-1,2422
1534,1,5755
1535,1,218
1536,-1,1106
1537,1,321
1538,1,797
1539,1,4931
1540,1,1305
1541,0,603
1542,-1,4425
1543,-1,579
1544,-1,403
1545,-1,685
1546,-1,695
1547,1,2260
1548,-1,531
1549,-1,377
1550,-1,1256
1551,1,1351
1552,-1,2922
1553,-1,642
1554,-1,764
1555,-1,1310
1556,1,534
1557,1,14450
1558,1,1211
1559,1,3541
1560,-1,2188
1561,-1,963
1562,1,215
1563,-1,1736
1564,1,1604
1565,-1,1000
1566,1,514
1567,-1,2395
1568,-1,306
1569,-1,1772
1570,-1,8128
1571,-1,2371
1572,0,380
1573,-1,2766
1574,-1,524
1575,1,981
1576,1,1870
1577,0,1126
1578,1,15971
1579,0,2034
1580,-1,1340
1581,1,276
1582,-1,476
1583,1,2807
1584,-1,955
1585,1,523
