Tweet_number,rawContent,timestamp,ID,replyCount,retweetCount,likeCount
95,CNN at its worst: inviting Kellyanne Conway back time and again to dissemble. “Kellyanne Blames Dems for Politicizing Border Kids Deaths; Dana Bash: Isn’t That What Trump is Doing?” https://t.co/1ffBmEGiM2,2018-12-31 14:52:06+00:00,1.08E+18,117,307,1142
96,I’ve heard the rationale for shrugging off his adultery &amp; misogyny. I’ve heard the rationale for shutting the door on refugees &amp; mistreating immigrants. How are Trump-supporting evangelicals rationalizing the overt &amp; chronic lies?,2018-12-31 14:28:23+00:00,1.08E+18,105,207,1041
97,"2017: Year 1 of the Trump Captivity of the GOP. Willful blindness and wishful thinking.
2018: Year 2 of the Trump Captivity: Mugged by reality.
2019: Year 3 of the Trump Captivity: The beginning of liberation .
2020: Year 4: The end of captivity. Trump defeated for renomination.",2018-12-31 14:08:10+00:00,1.08E+18,907,1627,7413
98,She has every right to run but let’s be absolutely clear: she lost the progressive vote years ago. We cannot afford another 4yrs of Trump and that’s exactly what Elizabeth Warren’s hypocrisy is going to deliver if she ends up as the Democratic nominee. We need a REAL progressive.,2018-12-31 14:01:44+00:00,1.08E+18,100,221,1027
99,"Trump said fed employees support the shutdown. Not true, say labor unions repping hundreds of thousands of fed workers. 

""It makes people feel really disrespected. How detached can you be? These are real people with real families and financial."" https://t.co/uVRLpflkG7",2018-12-31 14:00:01+00:00,1.08E+18,70,736,1565
100,"""BUT I'M THE PRESIDENT"" wailed Trump as he was led away in handcuffs 

oh sorry, I was just daydreaming there for a moment",2018-12-31 13:52:29+00:00,1.08E+18,112,408,3302
101,"#Russia's state TV praises Trump's decision to withdraw the troops from Syria and Afghanistan, shows off Rand Paul saying that ""Russia is a major player on the world stage"" and ""Assad won the war."" https://t.co/WimExfUHRo",2018-12-31 13:51:54+00:00,1.08E+18,640,2600,2474
102,"WHAT??? The “Trump official” who ""resigned"" in outrage over @realDonaldTrump  decision to withdraw troops from Syria was actually same Obama holdover who oversaw sending that planeload of cash to Iran and who was set to leave in February anyway…
 https://t.co/YnfZ58kg53",2018-12-31 13:39:36+00:00,1.08E+18,1805,8433,19169
103,"Happy New Year 🎈 
Do you think trump will finish out 2019?",2018-12-31 13:39:04+00:00,1.08E+18,1747,265,1323
104,Does anyone know what Trump is talking about with a “see through” wall?,2018-12-31 13:36:10+00:00,1.08E+18,1928,745,3893
105,"When I say I'm going to write 2,000 handwritten thank you letters, I do it. 

When I say I'm going to protest with a Yellow Vest, I do it. 

When I say I'm going to spend the next years of my life working to reelect President Trump, 

you better believe I'm a man of my word.",2018-12-31 13:34:24+00:00,1.08E+18,147,774,3559
106,"We're edging towards my preferred solution, which is just telling Trump that we've built an invisible wall and the problem has been solved.",2018-12-31 13:29:38+00:00,1.08E+18,175,700,4956
107,Under President Trump “unemployment rate is matching its low point of the last half-century...An all-time high 130 million Americans now have a job...Wages are rising...Americans are again the most productive &amp; among the highest-paid workers in the world” https://t.co/UEAN8TJ8WD,2018-12-31 13:28:17+00:00,1.08E+18,2736,3466,17255
108,"We don’t know how this sad saga will end, but I don’t think Trump will survive in office beyond 2019.",2018-12-31 13:16:52+00:00,1.08E+18,414,692,4688
